name,slug,source,page,type,type_code,rarity,tier,attunement,attunement_req,wondrous,weight,value_gp,has_spells,entries_json,srd
"Bag of Tricks, Gray",bag-of-tricks-gray,XDMG,234,Wondrous Item,WON,uncommon,,0,,1,,,0,"[""This bag made from gray cloth appears empty. Reaching inside the bag, however, reveals the presence of a small, fuzzy object."", ""You can take a {@action Magic|XPHB} action to pull the fuzzy object from the bag and throw it up to 20 feet. When the object lands, it transforms into a creature you determine by rolling on the table below. See the {@book Monster Manual|XMM} for the creature's stat block. The creature vanishes at the next dawn or when it is reduced to 0 {@variantrule Hit Points|XPHB}."", ""The creature is {@variantrule Friendly [Attitude]|XPHB|Friendly} to you and your allies, and it acts immediately after you on your {@variantrule Initiative|XPHB} count. You can take a {@variantrule Bonus Action|XPHB} to command how the creature moves and what action it takes on its next turn, such as attacking an enemy. In the absence of such orders, the creature acts in a fashion appropriate to its nature."", ""Once three fuzzy objects have been pulled from the bag, the bag can't be used again until the next dawn."", {""type"": ""table"", ""colStyles"": [""col-2 text-center"", ""col-10""], ""colLabels"": [""1d8"", ""Creature""], ""rows"": [[""1"", ""{@creature Weasel|XMM}""], [""2"", ""{@creature Giant Rat|XMM}""], [""3"", ""{@creature Badger|XMM}""], [""4"", ""{@creature Boar|XMM}""], [""5"", ""{@creature Panther|XMM}""], [""6"", ""{@creature Giant Badger|XMM}""], [""7"", ""{@creature Dire Wolf|XMM}""], [""8"", ""{@creature Giant Elk|XMM}""]]}]",1
"Bag of Tricks, Rust",bag-of-tricks-rust,XDMG,234,Wondrous Item,WON,uncommon,,0,,1,,,0,"[""This bag made from rust cloth appears empty. Reaching inside the bag, however, reveals the presence of a small, fuzzy object."", ""You can take a {@action Magic|XPHB} action to pull the fuzzy object from the bag and throw it up to 20 feet. When the object lands, it transforms into a creature you determine by rolling on the table below. See the {@book Monster Manual|XMM} for the creature's stat block. The creature vanishes at the next dawn or when it is reduced to 0 {@variantrule Hit Points|XPHB}."", ""The creature is {@variantrule Friendly [Attitude]|XPHB|Friendly} to you and your allies, and it acts immediately after you on your {@variantrule Initiative|XPHB} count. You can take a {@variantrule Bonus Action|XPHB} to command how the creature moves and what action it takes on its next turn, such as attacking an enemy. In the absence of such orders, the creature acts in a fashion appropriate to its nature."", ""Once three fuzzy objects have been pulled from the bag, the bag can't be used again until the next dawn."", {""type"": ""table"", ""colStyles"": [""col-2 text-center"", ""col-10""], ""colLabels"": [""1d8"", ""Creature""], ""rows"": [[""1"", ""{@creature Rat|XMM}""], [""2"", ""{@creature Owl|XMM}""], [""3"", ""{@creature Mastiff|XMM}""], [""4"", ""{@creature Goat|XMM}""], [""5"", ""{@creature Giant Goat|XMM}""], [""6"", ""{@creature Giant Boar|XMM}""], [""7"", ""{@creature Lion|XMM}""], [""8"", ""{@creature Brown Bear|XMM}""]]}]",1
"Bag of Tricks, Tan",bag-of-tricks-tan,XDMG,234,Wondrous Item,WON,uncommon,,0,,1,,,0,"[""This bag made from tan cloth appears empty. Reaching inside the bag, however, reveals the presence of a small, fuzzy object."", ""You can take a {@action Magic|XPHB} action to pull the fuzzy object from the bag and throw it up to 20 feet. When the object lands, it transforms into a creature you determine by rolling on the table below. See the {@book Monster Manual|XMM} for the creature's stat block. The creature vanishes at the next dawn or when it is reduced to 0 {@variantrule Hit Points|XPHB}."", ""The creature is {@variantrule Friendly [Attitude]|XPHB|Friendly} to you and your allies, and it acts immediately after you on your {@variantrule Initiative|XPHB} count. You can take a {@variantrule Bonus Action|XPHB} to command how the creature moves and what action it takes on its next turn, such as attacking an enemy. In the absence of such orders, the creature acts in a fashion appropriate to its nature."", ""Once three fuzzy objects have been pulled from the bag, the bag can't be used again until the next dawn."", {""type"": ""table"", ""colStyles"": [""col-2 text-center"", ""col-10""], ""colLabels"": [""1d8"", ""Creature""], ""rows"": [[""1"", ""{@creature Jackal|XMM}""], [""2"", ""{@creature Ape|XMM}""], [""3"", ""{@creature Baboon|XMM}""], [""4"", ""{@creature Axe Beak|XMM}""], [""5"", ""{@creature Black Bear|XMM}""], [""6"", ""{@creature Giant Weasel|XMM}""], [""7"", ""{@creature Giant Hyena|XMM}""], [""8"", ""{@creature Tiger|XMM}""]]}]",1
Ball Bearings,ball-bearings,XPHB,224,Adventuring Gear,G,none,,0,,0,2,1.0,0,"[""As a {@action Utilize|XPHB} action, you can spill Ball Bearings from their pouch. They spread to cover a level, 10-foot-square area within 10 feet of yourself. A creature that enters this area for the first time on a turn must succeed on a {@dc 10} Dexterity saving throw or have the {@condition Prone|XPHB} condition. It takes 10 minutes to recover the Ball Bearings.""]",1
Barrel,barrel,XPHB,224,Adventuring Gear,G,none,,0,,0,70,2.0,0,"[""A Barrel holds up to 40 gallons of liquid or up to 4 cubic feet of dry goods.""]",1
Basic Poison,basic-poison,XPHB,227,Adventuring Gear,G,none,,0,,0,,100.0,0,"[""As a {@variantrule Bonus Action|XPHB}, you can use a vial of Basic Poison to coat one weapon or up to three pieces of ammunition. A creature that takes Piercing or Slashing damage from the poisoned weapon or ammunition takes an extra {@damage 1d4} Poison damage. Once applied, the poison retains potency for 1 minute or until its damage is dealt, whichever comes first.""]",1
Basket,basket,XPHB,224,Adventuring Gear,G,none,,0,,0,2,0.4,0,"[""A Basket holds up to 40 pounds within 2 cubic feet.""]",1
Bead of Force,bead-of-force,XDMG,234,Wondrous Item,WON,rare,,0,,1,0.5,,0,"[""This small black sphere measures 3/4 of an inch in diameter and weighs an ounce. Typically, {@dice 1d4 + 4} Beads of Force are found together."", ""You can take a {@action Magic|XPHB} action to throw the bead up to 60 feet. The bead explodes in a 10-foot-radius {@variantrule Sphere [Area of Effect]|XPHB|Sphere} on impact and is destroyed. Each creature in the {@variantrule Sphere [Area of Effect]|XPHB|Sphere} must succeed on a {@dc 15} Dexterity saving throw or take {@damage 5d4} Force damage. A sphere of transparent force then encloses the area for 1 minute. Any creature that failed the save and is completely within the area is trapped inside this sphere. Creatures that succeeded on the save or are partially within the area are pushed away from the center of the sphere until they are no longer inside it. Only breathable air can pass through the sphere's wall. No attack or other effect can pass through."", ""An enclosed creature can take a {@action Utilize|XPHB} action to push against the sphere's wall, moving the sphere up to half the creature's {@variantrule Speed|XPHB}. The sphere can be picked up, and its magic causes it to weigh only 1 pound, regardless of the weight of creatures inside.""]",1
Bead of Nourishment,bead-of-nourishment,XDMG,235,Wondrous Item,WON,common,,0,,1,,,0,"[""This flavorless, gelatinous bead dissolves on your tongue and provides as much nourishment as 1 day of Rations.""]",1
Bedroll,bedroll,XPHB,224,Adventuring Gear,G,none,,0,,0,7,1.0,0,"[""A Bedroll sleeps one Small or Medium creature. While in a Bedroll, you automatically succeed on saving throws against {@hazard extreme cold|XDMG} (see the {@book Dungeon Master's Guide|XDMG}).""]",1
Bell,bell,XPHB,224,Adventuring Gear,G,none,,0,,0,,1.0,0,"[""When rung as a {@action Utilize|XPHB} action, a Bell produces a sound that can be heard up to 60 feet away.""]",1
Belt of Cloud Giant Strength,belt-of-cloud-giant-strength,XDMG,236,Wondrous Item,WON,legendary,,1,,1,,,0,"[""While wearing this belt, your Strength score changes to 27. The item has no effect on you if your Strength without the belt is equal to or greater than the belt's score.""]",1
Belt of Dwarvenkind,belt-of-dwarvenkind,XDMG,235,Wondrous Item,WON,rare,,1,,1,,,0,"[""While wearing this belt, you gain the following benefits:"", {""type"": ""list"", ""style"": ""list-hang-notitle"", ""items"": [{""type"": ""item"", ""name"": ""Dwarvish"", ""entries"": [""You know Dwarvish.""]}, {""type"": ""item"", ""name"": ""Friend of Dwarvenkind"", ""entries"": [""You have {@variantrule Advantage|XPHB} on Charisma ({@skill Persuasion|XPHB}) checks made to interact with dwarves and duergar.""]}, {""type"": ""item"", ""name"": ""Toughness"", ""entries"": [""Your Constitution increases by 2, to a maximum of 20."", ""In addition, while attuned to the belt, you have a {@chance 50} chance each day at dawn of growing a full beard if you can grow one, or a thicker beard if you already have one."", ""If you aren't a dwarf or duergar, you gain the following additional benefits while wearing the belt:""]}, {""type"": ""item"", ""name"": ""Darkvision"", ""entries"": [""You have {@sense Darkvision|XPHB} with a range of 60 feet.""]}, {""type"": ""item"", ""name"": ""Resilience"", ""entries"": [""You have {@variantrule Resistance|XPHB} to Poison damage. You also have {@variantrule Advantage|XPHB} on saving throws you make to avoid or end the {@condition Poisoned|XPHB} condition.""]}]}]",1
Belt of Fire Giant Strength,belt-of-fire-giant-strength,XDMG,236,Wondrous Item,WON,very rare,,1,,1,,,0,"[""While wearing this belt, your Strength score changes to 25. The item has no effect on you if your Strength without the belt is equal to or greater than the belt's score.""]",1
Belt of Frost Giant Strength,belt-of-frost-giant-strength,XDMG,236,Wondrous Item,WON,very rare,,1,,1,,,0,"[""While wearing this belt, your Strength score changes to 23. The item has no effect on you if your Strength without the belt is equal to or greater than the belt's score.""]",1
Belt of Hill Giant Strength,belt-of-hill-giant-strength,XDMG,236,Wondrous Item,WON,rare,,1,,1,,,0,"[""While wearing this belt, your Strength score changes to 21. The item has no effect on you if your Strength without the belt is equal to or greater than the belt's score.""]",1
Belt of Stone Giant Strength,belt-of-stone-giant-strength,XDMG,236,Wondrous Item,WON,very rare,,1,,1,,,0,"[""While wearing this belt, your Strength score changes to 23. The item has no effect on you if your Strength without the belt is equal to or greater than the belt's score.""]",1
Belt of Storm Giant Strength,belt-of-storm-giant-strength,XDMG,236,Wondrous Item,WON,legendary,,1,,1,,,0,"[""While wearing this belt, your Strength score changes to 29. The item has no effect on you if your Strength without the belt is equal to or greater than the belt's score.""]",1
Black Dragon Scale Mail,black-dragon-scale-mail,XDMG,254,Medium Armor,MA,very rare,,1,,0,45,,0,"[""{#itemEntry Dragon Scale Mail|XDMG}""]",1
Blanket,blanket,XPHB,224,Adventuring Gear,G,none,,0,,0,3,0.5,0,"[""While wrapped in a blanket, you have {@variantrule Advantage|XPHB} on saving throws against {@hazard extreme cold|XDMG} (see the {@book Dungeon Master's Guide|XDMG}).""]",1
Block and Tackle,block-and-tackle,XPHB,224,Adventuring Gear,G,none,,0,,0,5,1.0,0,"[""A {@item Block and Tackle|XPHB} allows you to hoist up to four times the weight you can normally lift.""]",1
Blue Dragon Scale Mail,blue-dragon-scale-mail,XDMG,254,Medium Armor,MA,very rare,,1,,0,45,,0,"[""{#itemEntry Dragon Scale Mail|XDMG}""]",1
Book,book,XPHB,224,Adventuring Gear,G,none,,0,,0,5,25.0,0,"[""A Book contains fiction or nonfiction. If you consult an accurate nonfiction Book about its topic, you gain a +5 bonus to Intelligence ({@skill Arcana|XPHB}, {@skill History|XPHB}, {@skill Nature|XPHB}, or {@skill Religion|XPHB}) checks you make about that topic.""]",1
Boots of Elvenkind,boots-of-elvenkind,XDMG,239,Wondrous Item,WON,uncommon,,0,,1,,,0,"[""While you wear these boots, your steps make no sound, regardless of the surface you are moving across. You also have {@variantrule Advantage|XPHB} on Dexterity ({@skill Stealth|XPHB}) checks.""]",1
Boots of Levitation,boots-of-levitation,XDMG,239,Wondrous Item,WON,rare,,1,,1,,,1,"[""While you wear these boots, you can cast {@spell Levitate|XPHB} on yourself.""]",1
Boots of Speed,boots-of-speed,XDMG,240,Wondrous Item,WON,rare,,1,,1,,,0,"[""While you wear these boots, you can take a {@variantrule Bonus Action|XPHB} to click the boots' heels together. If you do, the boots double your {@variantrule Speed|XPHB}, and any creature that makes an {@action Opportunity Attack|XPHB} against you has {@variantrule Disadvantage|XPHB} on the attack roll. If you click your heels together again, you end the effect."", ""When you've used the boots' property for a total of 10 minutes, the magic ceases to function for you until you finish a {@variantrule Long Rest|XPHB}.""]",1
Boots of Striding and Springing,boots-of-striding-and-springing,XDMG,240,Wondrous Item,WON,uncommon,,1,,1,,,0,"[""While you wear these boots, your {@variantrule Speed|XPHB} becomes 30 feet unless your {@variantrule Speed|XPHB} is higher, and your {@variantrule Speed|XPHB} isn't reduced by you carrying weight in excess of your carrying capacity or wearing Heavy Armor."", ""Once on each of your turns, you can jump up to 30 feet by spending only 10 feet of movement.""]",1
Boots of the Winterlands,boots-of-the-winterlands,XDMG,240,Wondrous Item,WON,uncommon,,1,,1,,,0,"[""These furred boots are snug and feel warm. While wearing them, you gain the following benefits."", {""type"": ""entries"", ""name"": ""Cold Resistance"", ""entries"": [""You have {@variantrule Resistance|XPHB} to Cold damage and can tolerate temperatures of 0 degrees Fahrenheit or lower without any additional protection.""]}, {""type"": ""entries"", ""name"": ""Winter Strider"", ""entries"": [""You ignore {@variantrule Difficult Terrain|XPHB} created by ice or snow.""]}]",1
Bowl of Commanding Water Elementals,bowl-of-commanding-water-elementals,XDMG,240,Wondrous Item,WON,rare,,0,,1,,,0,"[""While this bowl is filled with water and you are within 5 feet of it, you can take a {@action Magic|XPHB} action to summon a {@creature Water Elemental|XMM}. The elemental appears in an unoccupied space as close to the bowl as possible, understands your languages, obeys your commands, and takes its turn immediately after you on your {@variantrule Initiative|XPHB} count. The elemental disappears after 1 hour, when it dies, or when you dismiss it as a {@variantrule Bonus Action|XPHB}. The bowl can't be used this way again until the next dawn."", ""The bowl is about 1 foot in diameter and half as deep. It holds about 3 gallons.""]",1
Bracers of Archery,bracers-of-archery,XDMG,240,Wondrous Item,WON,uncommon,,1,,1,,,0,"[""While wearing these bracers, you have proficiency with the {@item Longbow|XPHB} and {@item Shortbow|XPHB}, and you gain a +2 bonus to damage rolls made with such weapons.""]",1
Bracers of Defense,bracers-of-defense,XDMG,241,Wondrous Item,WON,rare,,1,,1,,,0,"[""While wearing these bracers, you gain a +2 bonus to {@variantrule Armor Class|XPHB} if you are wearing no armor and using no {@item Shield|XPHB}.""]",1
Brass Dragon Scale Mail,brass-dragon-scale-mail,XDMG,254,Medium Armor,MA,very rare,,1,,0,45,,0,"[""{#itemEntry Dragon Scale Mail|XDMG}""]",1
